Date,Customer ID,Product Category,Product Name,Quantity Sold,Price,Discount Applied,Payment Method,Total Sales,Month,Revenue
2024-02-24,ea7eda31,Books,Board Game,3,439.56,0.07,Bank Transfer,1226.3724,2024-02,1226.3724
2024-02-25,25a59752,Books,Laptop,4,207.71,0.06,PayPal,780.9896,2024-02,780.9896
2024-02-26,da08379a,Electronics,Vacuum,4,75.67,0.18,Credit Card,248.1976,2024-02,248.1976
2024-02-27,a3176e30,Books,Vacuum,1,24.1,0.12,PayPal,21.208,2024-02,21.208
2024-02-28,ae1791b2,Electronics,Novel,3,380.02,0.25,Credit Card,855.045,2024-02,855.045
2024-02-29,d52577e1,Clothing,Vacuum,1,313.95,0.27,Bank Transfer,229.1835,2024-02,229.1835
2024-03-01,0050ec9d,Toys,Board Game,3,355.0,0.11,PayPal,947.85,2024-03,947.85
2024-03-02,89555b50,Books,Laptop,3,114.35,0.07,Bank Transfer,319.0364999999999,2024-03,319.0364999999999
2024-03-03,0251224d,Home,Laptop,1,76.82,0.23,PayPal,59.1514,2024-03,59.1514
2024-03-04,594f8242,Books,Novel,1,17.13,0.08,PayPal,15.7596,2024-03,15.7596
2024-03-05,8795511e,Toys,Laptop,3,181.79,0.25,PayPal,409.0275,2024-03,409.0275
2024-03-06,24fc2961,Books,Shoes,2,299.06,0.13,Credit Card,520.3644,2024-03,520.3644
2024-03-07,0e855feb,Clothing,Novel,4,202.2,0.2,PayPal,647.04,2024-03,647.04
2024-03-08,cbd88642,Electronics,Vacuum,1,224.36,0.03,PayPal,217.6292,2024-03,217.6292
2024-03-09,84d40378,Clothing,Shoes,4,453.04,0.19,Credit Card,1467.8496,2024-03,1467.8496
2024-03-10,1c320adb,Clothing,Board Game,2,180.65,0.14,Bank Transfer,310.718,2024-03,310.718
2024-03-11,775f0039,Clothing,Vacuum,2,261.85,0.18,PayPal,429.4340000000001,2024-03,429.4340000000001
2024-03-12,8c17c6ed,Toys,Vacuum,2,393.99,0.05,Bank Transfer,748.581,2024-03,748.581
2024-03-13,782054d8,Toys,Novel,1,204.31,0.22,Bank Transfer,159.3618,2024-03,159.3618
2024-03-14,93aaf104,Clothing,Laptop,2,314.82,0.26,PayPal,465.9336,2024-03,465.9336
2024-03-15,b40bb103,Books,Novel,1,432.56,0.07,PayPal,402.2808,2024-03,402.2808
2024-03-16,d3a402ef,Clothing,Board Game,2,475.27,0.03,PayPal,922.0237999999999,2024-03,922.0237999999999
2024-03-17,15d18d21,Toys,Novel,4,82.07,0.01,Credit Card,324.9972,2024-03,324.9972
2024-03-18,c8fc4838,Home,Novel,4,464.03,0.19,Credit Card,1503.4572,2024-03,1503.4572
2024-03-19,e8f7da38,Clothing,Novel,3,251.14,0.18,Credit Card,617.8044,2024-03,617.8044
2024-03-20,c666d4e0,Clothing,Shoes,4,136.54,0.16,Bank Transfer,458.7744,2024-03,458.7744
2024-03-21,cea6949c,Home,Vacuum,3,234.98,0.07,PayPal,655.5941999999999,2024-03,655.5941999999999
2024-03-22,39953546,Clothing,Shoes,4,490.22,0.12,PayPal,1725.5744,2024-03,1725.5744
2024-03-23,78736fe5,Home,Shoes,1,251.38,0.18,Credit Card,206.1316,2024-03,206.1316
2024-03-24,770eebcc,Toys,Vacuum,4,171.09,0.15,Credit Card,581.706,2024-03,581.706
2024-03-25,5a3fdc88,Clothing,Vacuum,3,320.37,0.3,PayPal,672.7769999999999,2024-03,672.7769999999999
2024-03-26,6c60fffa,Clothing,Laptop,3,127.67,0.04,Bank Transfer,367.6896,2024-03,367.6896
2024-03-27,60b73b5f,Toys,Vacuum,2,47.17,0.21,PayPal,74.52860000000001,2024-03,74.52860000000001
2024-03-28,995ab19d,Home,Novel,1,73.15,0.12,PayPal,64.372,2024-03,64.372
2024-03-29,0810331e,Electronics,Shoes,4,72.74,0.13,Bank Transfer,253.1352,2024-03,253.1352
2024-03-30,d6136fea,Electronics,Laptop,2,84.43,0.22,Credit Card,131.7108,2024-03,131.7108
2024-03-31,a894c9c9,Electronics,Board Game,4,78.03,0.21,Bank Transfer,246.5748,2024-03,246.5748
2024-04-01,6d093be6,Books,Laptop,4,324.03,0.3,Bank Transfer,907.2839999999999,2024-04,907.2839999999999
2024-04-02,acfe3ccf,Books,Board Game,2,99.12,0.04,PayPal,190.3104,2024-04,190.3104
2024-04-03,f2114d54,Home,Laptop,2,179.38,0.03,PayPal,347.9972,2024-04,347.9972
2024-04-04,df39e3d8,Electronics,Laptop,2,449.43,0.22,Credit Card,701.1108,2024-04,701.1108
2024-04-05,361e4c13,Clothing,Novel,2,242.24,0.17,Bank Transfer,402.1184,2024-04,402.1184
2024-04-06,1e677eda,Toys,Board Game,2,337.1,0.08,Credit Card,620.2640000000001,2024-04,620.2640000000001
2024-04-07,0e831dc8,Home,Vacuum,4,94.44,0.02,Bank Transfer,370.2048,2024-04,370.2048
2024-04-08,c9839d9d,Toys,Vacuum,2,104.22,0.03,PayPal,202.1868,2024-04,202.1868
2024-04-09,823edeea,Toys,Vacuum,1,30.03,0.27,Bank Transfer,21.9219,2024-04,21.9219
2024-04-10,5da14262,Electronics,Shoes,3,92.78,0.06,PayPal,261.6396,2024-04,261.6396
2024-04-11,fb100ec9,Books,Laptop,2,146.51,0.1,PayPal,263.718,2024-04,263.718
2024-04-12,55412c8f,Books,Shoes,2,96.74,0.07,Credit Card,179.9364,2024-04,179.9364
2024-04-13,fdb78e19,Home,Novel,4,53.46,0.11,Credit Card,190.3176,2024-04,190.3176
2024-04-14,7a4e0bfe,Clothing,Novel,2,69.11,0.02,Bank Transfer,135.4556,2024-04,135.4556
2024-04-15,3370e106,Books,Board Game,2,235.78,0.16,Bank Transfer,396.1104,2024-04,396.1104
2024-04-16,7ac37874,Electronics,Novel,2,111.1,0.02,Bank Transfer,217.756,2024-04,217.756
2024-04-17,ed05f643,Home,Board Game,4,188.49,0.24,Bank Transfer,573.0096,2024-04,573.0096
2024-04-18,29718af3,Home,Novel,2,256.67,0.07,PayPal,477.4062,2024-04,477.4062
2024-04-19,cb62cc84,Toys,Shoes,3,348.29,0.16,Bank Transfer,877.6908000000001,2024-04,877.6908000000001
2024-04-20,b7689f61,Toys,Vacuum,4,29.26,0.26,Credit Card,86.6096,2024-04,86.6096
2024-04-21,912a9d64,Clothing,Shoes,3,401.71,0.2,Bank Transfer,964.1039999999999,2024-04,964.1039999999999
2024-04-22,197a7d3f,Home,Novel,4,317.67,0.16,Credit Card,1067.3712,2024-04,1067.3712
2024-04-23,433999d1,Electronics,Shoes,2,50.06,0.1,PayPal,90.108,2024-04,90.108
2024-04-24,6ae844b3,Toys,Laptop,3,438.05,0.1,PayPal,1182.735,2024-04,1182.735
2024-04-25,d031581e,Toys,Board Game,4,461.23,0.2,PayPal,1475.936,2024-04,1475.936
2024-04-26,9785f66b,Clothing,Shoes,1,39.93,0.3,Bank Transfer,27.951,2024-04,27.951
2024-04-27,2456050e,Books,Novel,2,145.67,0.2,PayPal,233.072,2024-04,233.072
2024-04-28,88c0a710,Books,Vacuum,4,405.04,0.17,PayPal,1344.7328,2024-04,1344.7328
2024-04-29,7cdf213a,Electronics,Board Game,1,376.65,0.22,PayPal,293.787,2024-04,293.787
2024-04-30,541d88b2,Books,Board Game,4,100.42,0.14,Credit Card,345.4448,2024-04,345.4448
2024-05-01,3d004b4c,Home,Board Game,1,112.58,0.02,PayPal,110.3284,2024-05,110.3284
2024-05-02,df43a000,Books,Board Game,2,191.53,0.17,Credit Card,317.9398,2024-05,317.9398
2024-05-03,67eb84b6,Home,Novel,3,247.42,0.29,PayPal,527.0046,2024-05,527.0046
2024-05-04,ab31f445,Electronics,Novel,1,312.94,0.05,Credit Card,297.293,2024-05,297.293
2024-05-05,95e8750e,Clothing,Laptop,4,190.77,0.21,Bank Transfer,602.8332,2024-05,602.8332
2024-05-06,70b9ae9c,Electronics,Board Game,2,236.64,0.06,Credit Card,444.8831999999999,2024-05,444.8831999999999
2024-05-07,f2988004,Toys,Board Game,1,376.26,0.16,Bank Transfer,316.0584,2024-05,316.0584
2024-05-08,9e338bfb,Toys,Shoes,4,27.97,0.03,Bank Transfer,108.5236,2024-05,108.5236
2024-05-09,5dde7aee,Toys,Laptop,4,133.69,0.14,Bank Transfer,459.8936,2024-05,459.8936
2024-05-10,c71e4936,Clothing,Novel,4,359.54,0.23,Bank Transfer,1107.3832,2024-05,1107.3832
2024-05-11,ef58166d,Electronics,Shoes,1,448.65,0.1,Credit Card,403.785,2024-05,403.785
2024-05-12,b0c96bb8,Toys,Shoes,1,260.72,0.2,Credit Card,208.576,2024-05,208.576
2024-05-13,1f8f0137,Toys,Laptop,1,270.74,0.24,Credit Card,205.7624,2024-05,205.7624
2024-05-14,b3f0dbc0,Electronics,Board Game,3,62.51,0.28,Credit Card,135.0216,2024-05,135.0216
2024-05-15,c418238f,Home,Vacuum,1,229.23,0.07,PayPal,213.1839,2024-05,213.1839
2024-05-16,771ce490,Electronics,Vacuum,1,270.98,0.12,Bank Transfer,238.4624,2024-05,238.4624
2024-05-17,368d5708,Books,Laptop,1,128.81,0.05,Credit Card,122.3695,2024-05,122.3695
2024-05-18,809f7291,Books,Novel,3,141.93,0.3,PayPal,298.053,2024-05,298.053
2024-05-19,b17c440e,Electronics,Laptop,1,194.87,0.28,PayPal,140.3064,2024-05,140.3064
2024-05-20,6ad6e5fa,Home,Novel,4,19.83,0.16,PayPal,66.6288,2024-05,66.6288
2024-05-21,0690af8f,Home,Shoes,1,167.82,0.25,PayPal,125.865,2024-05,125.865
2024-05-22,2791dae2,Clothing,Vacuum,4,113.61,0.16,Bank Transfer,381.7296,2024-05,381.7296
2024-05-23,0d2a2c4d,Toys,Shoes,4,170.47,0.19,Credit Card,552.3228,2024-05,552.3228
2024-05-24,909f945c,Home,Shoes,4,68.68,0.03,Bank Transfer,266.4784,2024-05,266.4784
2024-05-25,c1d40afc,Clothing,Novel,3,446.36,0.23,Bank Transfer,1031.0916,2024-05,1031.0916
2024-05-26,305a7d38,Home,Novel,3,300.86,0.04,PayPal,866.4768,2024-05,866.4768
2024-05-27,8301d2a6,Books,Vacuum,3,342.76,0.25,Bank Transfer,771.21,2024-05,771.21
2024-05-28,173d2705,Clothing,Laptop,1,396.69,0.23,Bank Transfer,305.4513,2024-05,305.4513
2024-05-29,308013c6,Clothing,Laptop,4,254.24,0.21,Credit Card,803.3984,2024-05,803.3984
2024-05-30,d072db7e,Toys,Laptop,3,52.59,0.01,PayPal,156.1923,2024-05,156.1923
2024-05-31,5f006122,Books,Novel,3,273.18,0.09,PayPal,745.7814,2024-05,745.7814
2024-06-01,1858d418,Home,Novel,1,297.55,0.08,Credit Card,273.746,2024-06,273.746
2024-06-02,5a560257,Home,Shoes,3,375.27,0.11,Credit Card,1001.9709,2024-06,1001.9709
2024-06-03,a307c33e,Electronics,Novel,1,221.51,0.03,Credit Card,214.8647,2024-06,214.8647
2024-06-04,ef354c68,Clothing,Vacuum,2,72.51,0.28,PayPal,104.4144,2024-06,104.4144
2024-06-05,121d639a,Clothing,Vacuum,3,149.05,0.17,PayPal,371.1345,2024-06,371.1345
2024-06-06,6f45be4d,Home,Shoes,2,187.91,0.09,Bank Transfer,341.9962,2024-06,341.9962
2024-06-07,f6a00c7f,Clothing,Novel,1,326.5,0.12,PayPal,287.32,2024-06,287.32
2024-06-08,f16a0f87,Clothing,Laptop,4,289.68,0.13,Bank Transfer,1008.0864,2024-06,1008.0864
2024-06-09,ec05b747,Electronics,Vacuum,3,184.49,0.18,Credit Card,453.8454,2024-06,453.8454
2024-06-10,b5493ac5,Books,Shoes,1,493.39,0.15,PayPal,419.3815,2024-06,419.3815
2024-06-11,92cad82b,Clothing,Novel,4,306.83,0.28,Credit Card,883.6704,2024-06,883.6704
2024-06-12,07040cbb,Toys,Vacuum,4,126.24,0.15,Credit Card,429.216,2024-06,429.216
2024-06-13,ac804950,Toys,Novel,2,59.87,0.3,Bank Transfer,83.818,2024-06,83.818
2024-06-14,1455eb3f,Electronics,Laptop,1,84.9,0.26,Bank Transfer,62.826,2024-06,62.826
2024-06-15,d36ca47c,Clothing,Shoes,4,130.52,0.06,PayPal,490.7552,2024-06,490.7552
2024-06-16,a868511a,Books,Vacuum,3,88.73,0.28,Credit Card,191.6568,2024-06,191.6568
2024-06-17,f95e6378,Clothing,Laptop,3,101.42,0.03,Credit Card,295.1322,2024-06,295.1322
2024-06-18,311ab254,Electronics,Shoes,2,149.7,0.25,Bank Transfer,224.55,2024-06,224.55
2024-06-19,278bc481,Toys,Shoes,4,94.95,0.11,Bank Transfer,338.022,2024-06,338.022
2024-06-20,750bac92,Home,Laptop,1,449.42,0.26,PayPal,332.5708,2024-06,332.5708
2024-06-21,ae1b40cf,Home,Shoes,3,49.31,0.26,Credit Card,109.4682,2024-06,109.4682
2024-06-22,42b25f5a,Books,Shoes,4,267.01,0.24,Bank Transfer,811.7103999999999,2024-06,811.7103999999999
2024-06-23,d18320ba,Toys,Laptop,4,211.09,0.24,Credit Card,641.7136,2024-06,641.7136
2024-06-24,469404c4,Electronics,Novel,2,491.37,0.09,Bank Transfer,894.2934,2024-06,894.2934
2024-06-25,436fb1f9,Electronics,Laptop,3,64.9,0.02,PayPal,190.806,2024-06,190.806
2024-06-26,13404336,Home,Shoes,3,204.95,0.12,Bank Transfer,541.0679999999999,2024-06,541.0679999999999
2024-06-27,3f5b61d3,Home,Novel,1,485.04,0.05,Bank Transfer,460.788,2024-06,460.788
2024-06-28,f64401e3,Home,Vacuum,3,434.1,0.21,PayPal,1028.817,2024-06,1028.817
2024-06-29,338fdedd,Books,Board Game,1,410.37,0.1,Credit Card,369.333,2024-06,369.333
2024-06-30,e22ea118,Books,Board Game,3,136.37,0.29,Credit Card,290.4681,2024-06,290.4681
2024-07-01,0fc6903b,Toys,Laptop,2,93.73,0.19,Credit Card,151.8426,2024-07,151.8426
2024-07-02,e0240734,Electronics,Board Game,3,337.64,0.25,Bank Transfer,759.6899999999999,2024-07,759.6899999999999
2024-07-03,3e26f1b9,Home,Laptop,1,465.39,0.04,PayPal,446.7744,2024-07,446.7744
2024-07-04,26db2cf3,Clothing,Laptop,1,282.81,0.26,Bank Transfer,209.2794,2024-07,209.2794
2024-07-05,08ef6315,Toys,Board Game,2,290.09,0.28,Credit Card,417.7295999999999,2024-07,417.7295999999999
2024-07-06,c5562136,Clothing,Board Game,3,147.19,0.15,Bank Transfer,375.3345,2024-07,375.3345
2024-07-07,9f573037,Electronics,Vacuum,3,387.05,0.18,Credit Card,952.1430000000001,2024-07,952.1430000000001
2024-07-08,9f6aea4c,Home,Vacuum,2,101.65,0.23,Bank Transfer,156.541,2024-07,156.541
2024-07-09,d54e3dc1,Home,Novel,3,168.6,0.05,Bank Transfer,480.5099999999999,2024-07,480.5099999999999
2024-07-10,fdb04cd9,Clothing,Vacuum,3,218.46,0.15,PayPal,557.073,2024-07,557.073
2024-07-11,4eba3a68,Clothing,Laptop,1,258.73,0.12,Bank Transfer,227.6824,2024-07,227.6824
2024-07-12,e5c5297c,Toys,Laptop,3,128.78,0.04,Credit Card,370.8864,2024-07,370.8864
2024-07-13,d2cc967e,Home,Shoes,3,66.27,0.11,PayPal,176.9409,2024-07,176.9409
2024-07-14,76df8add,Toys,Board Game,2,309.2,0.02,Bank Transfer,606.0319999999999,2024-07,606.0319999999999
2024-07-15,e083b041,Home,Novel,2,151.43,0.01,PayPal,299.8314,2024-07,299.8314
2024-07-16,58c25f53,Electronics,Board Game,4,294.81,0.04,Bank Transfer,1132.0704,2024-07,1132.0704
2024-07-17,b4cf227c,Toys,Board Game,1,85.64,0.29,Bank Transfer,60.80439999999999,2024-07,60.80439999999999
2024-07-18,1952b2e7,Toys,Laptop,3,245.76,0.16,PayPal,619.3152,2024-07,619.3152
2024-07-19,2709ad05,Toys,Board Game,3,270.97,0.29,Bank Transfer,577.1661,2024-07,577.1661
2024-07-20,daf4cc7d,Toys,Shoes,4,35.39,0.13,Credit Card,123.1572,2024-07,123.1572
2024-07-21,29c96576,Toys,Vacuum,3,174.94,0.09,Credit Card,477.5862,2024-07,477.5862
2024-07-22,d8d6a8fe,Electronics,Vacuum,1,75.86,0.15,Bank Transfer,64.481,2024-07,64.481
2024-07-23,0b6d0c9d,Home,Shoes,4,41.05,0.13,PayPal,142.854,2024-07,142.854
2024-07-24,b87be484,Clothing,Shoes,1,495.08,0.03,PayPal,480.2276,2024-07,480.2276
2024-07-25,69f4e842,Home,Shoes,4,167.95,0.19,Bank Transfer,544.158,2024-07,544.158
2024-07-26,7efed3e9,Electronics,Shoes,4,406.84,0.06,PayPal,1529.7184,2024-07,1529.7184
2024-07-27,ed1ba1bd,Clothing,Laptop,2,134.77,0.19,Bank Transfer,218.3274,2024-07,218.3274
2024-07-28,22446140,Toys,Vacuum,1,343.94,0.2,PayPal,275.152,2024-07,275.152
2024-07-29,c35765f7,Clothing,Laptop,3,382.51,0.05,Credit Card,1090.1535,2024-07,1090.1535
2024-07-30,51975e87,Books,Vacuum,3,301.86,0.02,PayPal,887.4684,2024-07,887.4684
2024-07-31,4afc9ae3,Home,Board Game,1,241.07,0.23,Bank Transfer,185.6239,2024-07,185.6239
2024-08-01,35ca191e,Home,Shoes,3,211.8,0.14,Bank Transfer,546.4440000000001,2024-08,546.4440000000001
2024-08-02,e3a9577e,Toys,Novel,3,180.95,0.02,Credit Card,531.9929999999999,2024-08,531.9929999999999
2024-08-03,c85a3994,Toys,Board Game,1,465.47,0.3,Credit Card,325.829,2024-08,325.829
2024-08-04,79449a4a,Home,Board Game,4,417.0,0.02,Bank Transfer,1634.64,2024-08,1634.64
2024-08-05,1a2e27d9,Books,Shoes,1,482.86,0.21,PayPal,381.4594,2024-08,381.4594
2024-08-06,7324efd9,Electronics,Laptop,4,70.91,0.3,Bank Transfer,198.548,2024-08,198.548
2024-08-07,453231dd,Clothing,Laptop,3,368.13,0.07,Credit Card,1027.0827,2024-08,1027.0827
2024-08-08,f85461a5,Toys,Novel,3,469.79,0.04,Credit Card,1352.9952,2024-08,1352.9952
2024-08-09,04415655,Home,Novel,3,98.8,0.04,Credit Card,284.544,2024-08,284.544
2024-08-10,c6f85073,Home,Novel,2,42.58,0.09,Credit Card,77.4956,2024-08,77.4956
2024-08-11,50637f28,Books,Laptop,4,373.15,0.03,PayPal,1447.822,2024-08,1447.822
2024-08-12,bf4725ae,Electronics,Novel,2,291.49,0.21,Credit Card,460.5542,2024-08,460.5542
2024-08-13,dd6dbe21,Home,Vacuum,2,422.5,0.02,Credit Card,828.1,2024-08,828.1
2024-08-14,b1e7be75,Home,Novel,1,78.49,0.15,Credit Card,66.7165,2024-08,66.7165
2024-08-15,78f3bd16,Toys,Novel,2,399.68,0.3,PayPal,559.552,2024-08,559.552
2024-08-16,439d1b96,Electronics,Vacuum,1,108.8,0.24,PayPal,82.688,2024-08,82.688
2024-08-17,a1da599d,Toys,Board Game,1,90.19,0.18,PayPal,73.95580000000001,2024-08,73.95580000000001
2024-08-18,144699e7,Electronics,Vacuum,2,90.49,0.09,Credit Card,164.6918,2024-08,164.6918
2024-08-19,dcc31975,Electronics,Novel,4,409.14,0.19,PayPal,1325.6136,2024-08,1325.6136
2024-08-20,68ef83d6,Home,Novel,4,335.95,0.16,Credit Card,1128.792,2024-08,1128.792
2024-08-21,c765efe9,Books,Board Game,4,266.3,0.13,PayPal,926.724,2024-08,926.724
2024-08-22,6b9c19a2,Clothing,Novel,4,185.83,0.04,Credit Card,713.5872,2024-08,713.5872
2024-08-23,cfd59331,Electronics,Laptop,4,439.83,0.27,PayPal,1284.3036,2024-08,1284.3036
2024-08-24,fadaf0f2,Toys,Laptop,2,202.3,0.13,Credit Card,352.002,2024-08,352.002
2024-08-25,463b26c7,Clothing,Vacuum,2,410.13,0.06,PayPal,771.0444,2024-08,771.0444
2024-08-26,a7b7cac4,Home,Shoes,3,225.18,0.11,Credit Card,601.2306,2024-08,601.2306
2024-08-27,a965f2eb,Books,Shoes,4,194.7,0.12,Bank Transfer,685.3439999999999,2024-08,685.3439999999999
2024-08-28,3348343f,Home,Laptop,2,236.71,0.25,Bank Transfer,355.065,2024-08,355.065
2024-08-29,62b3d93a,Home,Vacuum,3,157.68,0.22,Bank Transfer,368.9712,2024-08,368.9712
2024-08-30,b9680115,Home,Shoes,4,376.33,0.23,PayPal,1159.0964,2024-08,1159.0964
2024-08-31,7ca7688c,Toys,Vacuum,1,256.33,0.0,Credit Card,256.33,2024-08,256.33
2024-09-01,1bbd250d,Clothing,Laptop,3,123.78,0.12,PayPal,326.7792,2024-09,326.7792
2024-09-02,afc97ccc,Books,Board Game,2,450.79,0.14,Credit Card,775.3588,2024-09,775.3588
2024-09-03,a0d0a33f,Clothing,Laptop,1,198.11,0.01,Credit Card,196.1289,2024-09,196.1289
2024-09-04,b622995f,Clothing,Board Game,1,276.34,0.08,PayPal,254.2328,2024-09,254.2328
2024-09-05,ff70d650,Books,Board Game,1,454.17,0.23,Credit Card,349.7109,2024-09,349.7109
2024-09-06,0975ab0d,Clothing,Novel,3,315.88,0.04,PayPal,909.7343999999999,2024-09,909.7343999999999
2024-09-07,907f76e3,Clothing,Vacuum,2,67.28,0.16,PayPal,113.0304,2024-09,113.0304
2024-09-08,9a0b74bd,Books,Vacuum,1,470.52,0.06,PayPal,442.2888,2024-09,442.2888
2024-09-09,e5cd5419,Electronics,Vacuum,4,317.58,0.0,Credit Card,1270.32,2024-09,1270.32
2024-09-10,9b21737f,Home,Novel,1,174.1,0.07,Credit Card,161.913,2024-09,161.913
2024-09-11,3ab2c0b3,Toys,Board Game,1,78.24,0.29,Credit Card,55.5504,2024-09,55.5504
